lsoa_code,lsoa_name,solar_connections,latitude,longitude,population,solar_per_1000_pop,potential_lat_score,category,priority_score
E01000028,Barking and Dagenham 001B,3.0,51.58509820726368,0.1294860385482248,1817.0,1.6510731975784259,0.6256481626340351,Low potential / Low uptake,0.900888218165584
E01000029,Barking and Dagenham 001C,10.0,51.580279229845594,0.13426282088739708,1819.0,5.497526113249037,0.6278484325394413,Low potential / Low uptake,0.6601051691665292
E01000030,Barking and Dagenham 001D,16.0,51.58340990129968,0.13659581360243872,2563.0,6.242684354272337,0.6264190167969447,Low potential / Low uptake,0.6039879332853225
E01000031,Barking and Dagenham 002A,8.0,51.580317705742175,0.14401329047680939,1770.0,4.519774011299435,0.6278308650453476,Low potential / Low uptake,0.7240761929725974
E01000032,Barking and Dagenham 002B,11.0,51.574629523864374,0.13393060943994356,2078.0,5.2935514918190565,0.6304280001460931,Low potential / Low uptake,0.6866353089879054
E01000033,Barking and Dagenham 006A,31.0,51.55488321445753,0.16284777344523793,1543.0,20.090732339598187,0.6394438569475137,Low potential / High uptake,-0.23683455865019168
E01000034,Barking and Dagenham 003A,9.0,51.557139329365405,0.1715038483084497,1575.0,5.714285714285714,0.6384137500795497,Low potential / Low uptake,0.6998286155314815
E01000035,Barking and Dagenham 010A,3.0,51.54962203527101,0.1628739959746229,1859.0,1.6137708445400754,0.6418460292813423,Low potential / Low uptake,0.9860058007761097
E01000036,Barking and Dagenham 010B,10.0,51.546172048062374,0.16805357461329226,1470.0,6.802721088435374,0.6434212396155322,High potential / Low uptake (PRIORITY),0.654074272746788
E01000037,Barking and Dagenham 003B,4.0,51.56251990746741,0.17950594613279608,1696.0,2.3584905660377355,0.6359570620637254,Low potential / Low uptake,0.9071558324412445
E01000038,Barking and Dagenham 003C,10.0,51.56314861428982,0.17308254022258837,1616.0,6.188118811881188,0.6356700043374359,Low potential / Low uptake,0.6547798361728124
E01000039,Barking and Dagenham 003D,8.0,51.55272332277858,0.17874986378414578,1752.0,4.5662100456621,0.6404300297903867,Low potential / Low uptake,0.7853396718838525
E01000040,Barking and Dagenham 019A,6.0,51.536627662577004,0.097454903590312,1879.0,3.1931878658861095,0.6477790571206018,High potential / Low uptake (PRIORITY),0.9128070882614304
E01000041,Barking and Dagenham 017A,11.0,51.538159595632095,0.11612777299312128,1842.0,5.971769815418024,0.6470796003882324,High potential / Low uptake (PRIORITY),0.7271890169269315
E01000042,Barking and Dagenham 017B,10.0,51.537292300608286,0.10680293720008721,1882.0,5.313496280552604,0.6474755937649259,High potential / Low uptake (PRIORITY),0.7723391441381781
E01000043,Barking and Dagenham 019B,10.0,51.53389340791269,0.09997957591227076,1537.0,6.506180871828237,0.6490274751416172,High potential / Low uptake (PRIORITY),0.7021172099450785
E01000044,Barking and Dagenham 016D,14.0,51.53601016261144,0.09029114012793359,1988.0,7.042253521126761,0.6480609979708996,High potential / Low uptake (PRIORITY),0.6620617429366409
E01000045,Barking and Dagenham 017C,6.0,51.53466354777884,0.11058083563150628,1723.0,3.482298316889147,0.6486758412941372,High potential / Low uptake (PRIORITY),0.898442222300858
E01000046,Barking and Dagenham 017D,12.0,51.53654387581429,0.11993854943731427,1956.0,6.134969325153374,0.6478173128492513,High potential / Low uptake (PRIORITY),0.7202617270533822
E01000049,Barking and Dagenham 021C,25.0,51.53045186316016,0.0863546068125498,1973.0,12.671059300557527,0.6505988307820677,High potential / High uptake,0.30622481969111726
E01000050,Barking and Dagenham 019C,35.0,51.53451389149616,0.08596260141229965,1839.0,19.032082653616094,0.6487441720179337,High potential / High uptake,-0.12000496958541867
E01000052,Barking and Dagenham 019D,13.0,51.53225347879384,0.09308684744971864,2368.0,5.489864864864865,0.6497762411917899,High potential / Low uptake (PRIORITY),0.77252622795156
E01000053,Barking and Dagenham 020A,6.0,51.532762293277784,0.14383240759176003,1617.0,3.7105751391465676,0.6495439244367343,High potential / Low uptake (PRIORITY),0.8879165847944277
E01000054,Barking and Dagenham 018A,16.0,51.53668666467215,0.13240521067127092,1871.0,8.5515766969535,0.6477521176844829,High potential / Low uptake (PRIORITY),0.5615968853320656
E01000055,Barking and Dagenham 018B,6.0,51.53585226902318,0.12624727771341018,1705.0,3.5190615835777126,0.6481330897199084,High potential / Low uptake (PRIORITY),0.8932633609250195
E01000056,Barking and Dagenham 018C,12.0,51.53419433677851,0.1370698718930873,1702.0,7.050528789659225,0.6488900757164517,High potential / Low uptake (PRIORITY),0.6657511577366347
E01000057,Barking and Dagenham 012A,3.0,51.53807626734751,0.12665921502263786,1550.0,1.935483870967742,0.647117646782919,High potential / Low uptake (PRIORITY),0.9918339321733732
E01000058,Barking and Dagenham 018D,8.0,51.539584329145136,0.13602049443746442,2135.0,3.747072599531616,0.6464290892942804,High potential / Low uptake (PRIORITY),0.8696272743696716
E01000059,Barking and Dagenham 013C,4.0,51.53636493727399,0.14176732855729637,1710.0,2.3391812865497075,0.6478990133950279,High potential / Low uptake (PRIORITY),0.9693724303164993
